"","name","arms","campain","triplicat","plate_number","orientation","open_close","site_names","island","comb","orientation_type"
"300","RUNARMS1A_3B","RUNARMS1A","RUNARMS","RUNARMS1","3","B","o","Cap_Houssaye","Reunion","3Bo","B_o"
"301","RUNARMS1A_3T","RUNARMS1A","RUNARMS","RUNARMS1","3","T","c","Cap_Houssaye","Reunion","3Tc","T_c"
"302","RUNARMS1A_4B","RUNARMS1A","RUNARMS","RUNARMS1","4","B","c","Cap_Houssaye","Reunion","4Bc","B_c"
"303","RUNARMS1A_4T","RUNARMS1A","RUNARMS","RUNARMS1","4","T","o","Cap_Houssaye","Reunion","4To","T_o"
"304","RUNARMS1A_5B","RUNARMS1A","RUNARMS","RUNARMS1","5","B","o","Cap_Houssaye","Reunion","5Bo","B_o"
"305","RUNARMS1A_5T","RUNARMS1A","RUNARMS","RUNARMS1","5","T","c","Cap_Houssaye","Reunion","5Tc","T_c"
"306","RUNARMS1A_6B","RUNARMS1A","RUNARMS","RUNARMS1","6","B","c","Cap_Houssaye","Reunion","6Bc","B_c"
"307","RUNARMS1A_6T","RUNARMS1A","RUNARMS","RUNARMS1","6","T","o","Cap_Houssaye","Reunion","6To","T_o"
"308","RUNARMS1A_7B","RUNARMS1A","RUNARMS","RUNARMS1","7","B","o","Cap_Houssaye","Reunion","7Bo","B_o"
"309","RUNARMS1A_7T","RUNARMS1A","RUNARMS","RUNARMS1","7","T","c","Cap_Houssaye","Reunion","7Tc","T_c"
"310","RUNARMS1A_8B","RUNARMS1A","RUNARMS","RUNARMS1","8","B","c","Cap_Houssaye","Reunion","8Bc","B_c"
"311","RUNARMS1A_8T","RUNARMS1A","RUNARMS","RUNARMS1","8","T","o","Cap_Houssaye","Reunion","8To","T_o"
"312","RUNARMS1A_9B","RUNARMS1A","RUNARMS","RUNARMS1","9","B","o","Cap_Houssaye","Reunion","9Bo","B_o"
"313","RUNARMS1B_1T","RUNARMS1B","RUNARMS","RUNARMS1","1","T","c","Cap_Houssaye","Reunion","1Tc","T_c"
"314","RUNARMS1B_2B","RUNARMS1B","RUNARMS","RUNARMS1","2","B","c","Cap_Houssaye","Reunion","2Bc","B_c"
"315","RUNARMS1B_2T","RUNARMS1B","RUNARMS","RUNARMS1","2","T","o","Cap_Houssaye","Reunion","2To","T_o"
"316","RUNARMS1B_3B","RUNARMS1B","RUNARMS","RUNARMS1","3","B","o","Cap_Houssaye","Reunion","3Bo","B_o"
"317","RUNARMS1B_3T","RUNARMS1B","RUNARMS","RUNARMS1","3","T","c","Cap_Houssaye","Reunion","3Tc","T_c"
"318","RUNARMS1B_4B","RUNARMS1B","RUNARMS","RUNARMS1","4","B","c","Cap_Houssaye","Reunion","4Bc","B_c"
"319","RUNARMS1B_4T","RUNARMS1B","RUNARMS","RUNARMS1","4","T","o","Cap_Houssaye","Reunion","4To","T_o"
"320","RUNARMS1B_5B","RUNARMS1B","RUNARMS","RUNARMS1","5","B","o","Cap_Houssaye","Reunion","5Bo","B_o"
"321","RUNARMS1B_5T","RUNARMS1B","RUNARMS","RUNARMS1","5","T","c","Cap_Houssaye","Reunion","5Tc","T_c"
"322","RUNARMS1B_6B","RUNARMS1B","RUNARMS","RUNARMS1","6","B","c","Cap_Houssaye","Reunion","6Bc","B_c"
"323","RUNARMS1B_6T","RUNARMS1B","RUNARMS","RUNARMS1","6","T","o","Cap_Houssaye","Reunion","6To","T_o"
"324","RUNARMS1B_7B","RUNARMS1B","RUNARMS","RUNARMS1","7","B","o","Cap_Houssaye","Reunion","7Bo","B_o"
"325","RUNARMS1B_7T","RUNARMS1B","RUNARMS","RUNARMS1","7","T","c","Cap_Houssaye","Reunion","7Tc","T_c"
"326","RUNARMS1B_8B","RUNARMS1B","RUNARMS","RUNARMS1","8","B","c","Cap_Houssaye","Reunion","8Bc","B_c"
"327","RUNARMS1B_8T","RUNARMS1B","RUNARMS","RUNARMS1","8","T","o","Cap_Houssaye","Reunion","8To","T_o"
"328","RUNARMS1B_9B","RUNARMS1B","RUNARMS","RUNARMS1","9","B","o","Cap_Houssaye","Reunion","9Bo","B_o"
"329","RUNARMS1C_1T","RUNARMS1C","RUNARMS","RUNARMS1","1","T","c","Cap_Houssaye","Reunion","1Tc","T_c"
"330","RUNARMS1C_2B","RUNARMS1C","RUNARMS","RUNARMS1","2","B","c","Cap_Houssaye","Reunion","2Bc","B_c"
"331","RUNARMS1C_2T","RUNARMS1C","RUNARMS","RUNARMS1","2","T","o","Cap_Houssaye","Reunion","2To","T_o"
"332","RUNARMS1C_3B","RUNARMS1C","RUNARMS","RUNARMS1","3","B","o","Cap_Houssaye","Reunion","3Bo","B_o"
"333","RUNARMS1C_3T","RUNARMS1C","RUNARMS","RUNARMS1","3","T","c","Cap_Houssaye","Reunion","3Tc","T_c"
"334","RUNARMS1C_4B","RUNARMS1C","RUNARMS","RUNARMS1","4","B","c","Cap_Houssaye","Reunion","4Bc","B_c"
"335","RUNARMS1C_4T","RUNARMS1C","RUNARMS","RUNARMS1","4","T","o","Cap_Houssaye","Reunion","4To","T_o"
"336","RUNARMS1C_5B","RUNARMS1C","RUNARMS","RUNARMS1","5","B","o","Cap_Houssaye","Reunion","5Bo","B_o"
"337","RUNARMS1C_5T","RUNARMS1C","RUNARMS","RUNARMS1","5","T","c","Cap_Houssaye","Reunion","5Tc","T_c"
"338","RUNARMS1C_6B","RUNARMS1C","RUNARMS","RUNARMS1","6","B","c","Cap_Houssaye","Reunion","6Bc","B_c"
"339","RUNARMS1C_6T","RUNARMS1C","RUNARMS","RUNARMS1","6","T","o","Cap_Houssaye","Reunion","6To","T_o"
"340","RUNARMS1C_7B","RUNARMS1C","RUNARMS","RUNARMS1","7","B","o","Cap_Houssaye","Reunion","7Bo","B_o"
"341","RUNARMS1C_7T","RUNARMS1C","RUNARMS","RUNARMS1","7","T","c","Cap_Houssaye","Reunion","7Tc","T_c"
"342","RUNARMS1C_8B","RUNARMS1C","RUNARMS","RUNARMS1","8","B","c","Cap_Houssaye","Reunion","8Bc","B_c"
"343","RUNARMS1C_8T","RUNARMS1C","RUNARMS","RUNARMS1","8","T","o","Cap_Houssaye","Reunion","8To","T_o"
"344","RUNARMS1C_9B","RUNARMS1C","RUNARMS","RUNARMS1","9","B","o","Cap_Houssaye","Reunion","9Bo","B_o"
"345","RUNARMS5A_1T","RUNARMS5A","RUNARMS","RUNARMS5","1","T","c","Saint_Leu","Reunion","1Tc","T_c"
"346","RUNARMS5A_2B","RUNARMS5A","RUNARMS","RUNARMS5","2","B","c","Saint_Leu","Reunion","2Bc","B_c"
"347","RUNARMS5A_2T","RUNARMS5A","RUNARMS","RUNARMS5","2","T","o","Saint_Leu","Reunion","2To","T_o"
"348","RUNARMS5A_3B","RUNARMS5A","RUNARMS","RUNARMS5","3","B","o","Saint_Leu","Reunion","3Bo","B_o"
"349","RUNARMS5A_3T","RUNARMS5A","RUNARMS","RUNARMS5","3","T","c","Saint_Leu","Reunion","3Tc","T_c"
"350","RUNARMS5A_4B","RUNARMS5A","RUNARMS","RUNARMS5","4","B","c","Saint_Leu","Reunion","4Bc","B_c"
"351","RUNARMS5A_4T","RUNARMS5A","RUNARMS","RUNARMS5","4","T","o","Saint_Leu","Reunion","4To","T_o"
"352","RUNARMS5A_5B","RUNARMS5A","RUNARMS","RUNARMS5","5","B","o","Saint_Leu","Reunion","5Bo","B_o"
"353","RUNARMS5A_5T","RUNARMS5A","RUNARMS","RUNARMS5","5","T","c","Saint_Leu","Reunion","5Tc","T_c"
"354","RUNARMS5A_6B","RUNARMS5A","RUNARMS","RUNARMS5","6","B","c","Saint_Leu","Reunion","6Bc","B_c"
"355","RUNARMS5A_6T","RUNARMS5A","RUNARMS","RUNARMS5","6","T","o","Saint_Leu","Reunion","6To","T_o"
"356","RUNARMS5A_7B","RUNARMS5A","RUNARMS","RUNARMS5","7","B","o","Saint_Leu","Reunion","7Bo","B_o"
"357","RUNARMS5A_7T","RUNARMS5A","RUNARMS","RUNARMS5","7","T","c","Saint_Leu","Reunion","7Tc","T_c"
"358","RUNARMS5A_8B","RUNARMS5A","RUNARMS","RUNARMS5","8","B","c","Saint_Leu","Reunion","8Bc","B_c"
"359","RUNARMS5A_8T","RUNARMS5A","RUNARMS","RUNARMS5","8","T","o","Saint_Leu","Reunion","8To","T_o"
"360","RUNARMS5A_9B","RUNARMS5A","RUNARMS","RUNARMS5","9","B","o","Saint_Leu","Reunion","9Bo","B_o"
"361","RUNARMS5B_1T","RUNARMS5B","RUNARMS","RUNARMS5","1","T","c","Saint_Leu","Reunion","1Tc","T_c"
"362","RUNARMS5B_2B","RUNARMS5B","RUNARMS","RUNARMS5","2","B","c","Saint_Leu","Reunion","2Bc","B_c"
"363","RUNARMS5B_2T","RUNARMS5B","RUNARMS","RUNARMS5","2","T","o","Saint_Leu","Reunion","2To","T_o"
"364","RUNARMS5B_3B","RUNARMS5B","RUNARMS","RUNARMS5","3","B","o","Saint_Leu","Reunion","3Bo","B_o"
"365","RUNARMS5B_3T","RUNARMS5B","RUNARMS","RUNARMS5","3","T","c","Saint_Leu","Reunion","3Tc","T_c"
"366","RUNARMS5B_4B","RUNARMS5B","RUNARMS","RUNARMS5","4","B","c","Saint_Leu","Reunion","4Bc","B_c"
"367","RUNARMS5B_4T","RUNARMS5B","RUNARMS","RUNARMS5","4","T","o","Saint_Leu","Reunion","4To","T_o"
"368","RUNARMS5B_5B","RUNARMS5B","RUNARMS","RUNARMS5","5","B","o","Saint_Leu","Reunion","5Bo","B_o"
"369","RUNARMS5B_5T","RUNARMS5B","RUNARMS","RUNARMS5","5","T","c","Saint_Leu","Reunion","5Tc","T_c"
"370","RUNARMS5B_6B","RUNARMS5B","RUNARMS","RUNARMS5","6","B","c","Saint_Leu","Reunion","6Bc","B_c"
"371","RUNARMS5B_6T","RUNARMS5B","RUNARMS","RUNARMS5","6","T","o","Saint_Leu","Reunion","6To","T_o"
"372","RUNARMS5B_7B","RUNARMS5B","RUNARMS","RUNARMS5","7","B","o","Saint_Leu","Reunion","7Bo","B_o"
"373","RUNARMS5B_7T","RUNARMS5B","RUNARMS","RUNARMS5","7","T","c","Saint_Leu","Reunion","7Tc","T_c"
"374","RUNARMS5B_8B","RUNARMS5B","RUNARMS","RUNARMS5","8","B","c","Saint_Leu","Reunion","8Bc","B_c"
"375","RUNARMS5B_8T","RUNARMS5B","RUNARMS","RUNARMS5","8","T","o","Saint_Leu","Reunion","8To","T_o"
"376","RUNARMS5B_9B","RUNARMS5B","RUNARMS","RUNARMS5","9","B","o","Saint_Leu","Reunion","9Bo","B_o"
"377","RUNARMS5C_1T","RUNARMS5C","RUNARMS","RUNARMS5","1","T","c","Saint_Leu","Reunion","1Tc","T_c"
"378","RUNARMS5C_2B","RUNARMS5C","RUNARMS","RUNARMS5","2","B","c","Saint_Leu","Reunion","2Bc","B_c"
"379","RUNARMS5C_2T","RUNARMS5C","RUNARMS","RUNARMS5","2","T","o","Saint_Leu","Reunion","2To","T_o"
"380","RUNARMS5C_3B","RUNARMS5C","RUNARMS","RUNARMS5","3","B","o","Saint_Leu","Reunion","3Bo","B_o"
"381","RUNARMS5C_3T","RUNARMS5C","RUNARMS","RUNARMS5","3","T","c","Saint_Leu","Reunion","3Tc","T_c"
"382","RUNARMS5C_4B","RUNARMS5C","RUNARMS","RUNARMS5","4","B","c","Saint_Leu","Reunion","4Bc","B_c"
"383","RUNARMS5C_4T","RUNARMS5C","RUNARMS","RUNARMS5","4","T","o","Saint_Leu","Reunion","4To","T_o"
"384","RUNARMS5C_5B","RUNARMS5C","RUNARMS","RUNARMS5","5","B","o","Saint_Leu","Reunion","5Bo","B_o"
"385","RUNARMS5C_5T","RUNARMS5C","RUNARMS","RUNARMS5","5","T","c","Saint_Leu","Reunion","5Tc","T_c"
"386","RUNARMS5C_6B","RUNARMS5C","RUNARMS","RUNARMS5","6","B","c","Saint_Leu","Reunion","6Bc","B_c"
"387","RUNARMS5C_6T","RUNARMS5C","RUNARMS","RUNARMS5","6","T","o","Saint_Leu","Reunion","6To","T_o"
"388","RUNARMS5C_7B","RUNARMS5C","RUNARMS","RUNARMS5","7","B","o","Saint_Leu","Reunion","7Bo","B_o"
"389","RUNARMS5C_7T","RUNARMS5C","RUNARMS","RUNARMS5","7","T","c","Saint_Leu","Reunion","7Tc","T_c"
"390","RUNARMS5C_8B","RUNARMS5C","RUNARMS","RUNARMS5","8","B","c","Saint_Leu","Reunion","8Bc","B_c"
"391","RUNARMS5C_8T","RUNARMS5C","RUNARMS","RUNARMS5","8","T","o","Saint_Leu","Reunion","8To","T_o"
"392","RUNARMS5C_9B","RUNARMS5C","RUNARMS","RUNARMS5","9","B","o","Saint_Leu","Reunion","9Bo","B_o"
"393","RUNARMS9A_1T","RUNARMS9A","RUNARMS","RUNARMS9","1","T","c","Grand_Bois","Reunion","1Tc","T_c"
"394","RUNARMS9A_2B","RUNARMS9A","RUNARMS","RUNARMS9","2","B","c","Grand_Bois","Reunion","2Bc","B_c"
"395","RUNARMS9A_2T","RUNARMS9A","RUNARMS","RUNARMS9","2","T","o","Grand_Bois","Reunion","2To","T_o"
"396","RUNARMS9A_3B","RUNARMS9A","RUNARMS","RUNARMS9","3","B","o","Grand_Bois","Reunion","3Bo","B_o"
"397","RUNARMS9A_3T","RUNARMS9A","RUNARMS","RUNARMS9","3","T","c","Grand_Bois","Reunion","3Tc","T_c"
"398","RUNARMS9A_4B","RUNARMS9A","RUNARMS","RUNARMS9","4","B","c","Grand_Bois","Reunion","4Bc","B_c"
"399","RUNARMS9A_4T","RUNARMS9A","RUNARMS","RUNARMS9","4","T","o","Grand_Bois","Reunion","4To","T_o"
"400","RUNARMS9A_5B","RUNARMS9A","RUNARMS","RUNARMS9","5","B","o","Grand_Bois","Reunion","5Bo","B_o"
"401","RUNARMS9A_5T","RUNARMS9A","RUNARMS","RUNARMS9","5","T","c","Grand_Bois","Reunion","5Tc","T_c"
"402","RUNARMS9A_6B","RUNARMS9A","RUNARMS","RUNARMS9","6","B","c","Grand_Bois","Reunion","6Bc","B_c"
"403","RUNARMS9A_6T","RUNARMS9A","RUNARMS","RUNARMS9","6","T","o","Grand_Bois","Reunion","6To","T_o"
"404","RUNARMS9A_7B","RUNARMS9A","RUNARMS","RUNARMS9","7","B","o","Grand_Bois","Reunion","7Bo","B_o"
"405","RUNARMS9A_7T","RUNARMS9A","RUNARMS","RUNARMS9","7","T","c","Grand_Bois","Reunion","7Tc","T_c"
"406","RUNARMS9A_8B","RUNARMS9A","RUNARMS","RUNARMS9","8","B","c","Grand_Bois","Reunion","8Bc","B_c"
"407","RUNARMS9A_8T","RUNARMS9A","RUNARMS","RUNARMS9","8","T","o","Grand_Bois","Reunion","8To","T_o"
"408","RUNARMS9A_9B","RUNARMS9A","RUNARMS","RUNARMS9","9","B","o","Grand_Bois","Reunion","9Bo","B_o"
"409","RUNARMS9B_1T","RUNARMS9B","RUNARMS","RUNARMS9","1","T","c","Grand_Bois","Reunion","1Tc","T_c"
"410","RUNARMS9B_2B","RUNARMS9B","RUNARMS","RUNARMS9","2","B","c","Grand_Bois","Reunion","2Bc","B_c"
"411","RUNARMS9B_2T","RUNARMS9B","RUNARMS","RUNARMS9","2","T","o","Grand_Bois","Reunion","2To","T_o"
"412","RUNARMS9B_3B","RUNARMS9B","RUNARMS","RUNARMS9","3","B","o","Grand_Bois","Reunion","3Bo","B_o"
"413","RUNARMS9B_3T","RUNARMS9B","RUNARMS","RUNARMS9","3","T","c","Grand_Bois","Reunion","3Tc","T_c"
"414","RUNARMS9B_4B","RUNARMS9B","RUNARMS","RUNARMS9","4","B","c","Grand_Bois","Reunion","4Bc","B_c"
"415","RUNARMS9B_4T","RUNARMS9B","RUNARMS","RUNARMS9","4","T","o","Grand_Bois","Reunion","4To","T_o"
"416","RUNARMS9B_5B","RUNARMS9B","RUNARMS","RUNARMS9","5","B","o","Grand_Bois","Reunion","5Bo","B_o"
"417","RUNARMS9B_5T","RUNARMS9B","RUNARMS","RUNARMS9","5","T","c","Grand_Bois","Reunion","5Tc","T_c"
"418","RUNARMS9B_6B","RUNARMS9B","RUNARMS","RUNARMS9","6","B","c","Grand_Bois","Reunion","6Bc","B_c"
"419","RUNARMS9B_6T","RUNARMS9B","RUNARMS","RUNARMS9","6","T","o","Grand_Bois","Reunion","6To","T_o"
"420","RUNARMS9B_7B","RUNARMS9B","RUNARMS","RUNARMS9","7","B","o","Grand_Bois","Reunion","7Bo","B_o"
"421","RUNARMS9B_7T","RUNARMS9B","RUNARMS","RUNARMS9","7","T","c","Grand_Bois","Reunion","7Tc","T_c"
"422","RUNARMS9B_8B","RUNARMS9B","RUNARMS","RUNARMS9","8","B","c","Grand_Bois","Reunion","8Bc","B_c"
"423","RUNARMS9B_8T","RUNARMS9B","RUNARMS","RUNARMS9","8","T","o","Grand_Bois","Reunion","8To","T_o"
"424","RUNARMS9B_9B","RUNARMS9B","RUNARMS","RUNARMS9","9","B","o","Grand_Bois","Reunion","9Bo","B_o"
"425","RUNARMS9C_1T","RUNARMS9C","RUNARMS","RUNARMS9","1","T","c","Grand_Bois","Reunion","1Tc","T_c"
"426","RUNARMS9C_2B","RUNARMS9C","RUNARMS","RUNARMS9","2","B","c","Grand_Bois","Reunion","2Bc","B_c"
"427","RUNARMS9C_2T","RUNARMS9C","RUNARMS","RUNARMS9","2","T","o","Grand_Bois","Reunion","2To","T_o"
"428","RUNARMS9C_3B","RUNARMS9C","RUNARMS","RUNARMS9","3","B","o","Grand_Bois","Reunion","3Bo","B_o"
"429","RUNARMS9C_3T","RUNARMS9C","RUNARMS","RUNARMS9","3","T","c","Grand_Bois","Reunion","3Tc","T_c"
"430","RUNARMS9C_4B","RUNARMS9C","RUNARMS","RUNARMS9","4","B","c","Grand_Bois","Reunion","4Bc","B_c"
"431","RUNARMS9C_4T","RUNARMS9C","RUNARMS","RUNARMS9","4","T","o","Grand_Bois","Reunion","4To","T_o"
"432","RUNARMS9C_5B","RUNARMS9C","RUNARMS","RUNARMS9","5","B","o","Grand_Bois","Reunion","5Bo","B_o"
"433","RUNARMS9C_5T","RUNARMS9C","RUNARMS","RUNARMS9","5","T","c","Grand_Bois","Reunion","5Tc","T_c"
"434","RUNARMS9C_6B","RUNARMS9C","RUNARMS","RUNARMS9","6","B","c","Grand_Bois","Reunion","6Bc","B_c"
"435","RUNARMS9C_6T","RUNARMS9C","RUNARMS","RUNARMS9","6","T","o","Grand_Bois","Reunion","6To","T_o"
"436","RUNARMS9C_7B","RUNARMS9C","RUNARMS","RUNARMS9","7","B","o","Grand_Bois","Reunion","7Bo","B_o"
"437","RUNARMS9C_7T","RUNARMS9C","RUNARMS","RUNARMS9","7","T","c","Grand_Bois","Reunion","7Tc","T_c"
"438","RUNARMS9C_8B","RUNARMS9C","RUNARMS","RUNARMS9","8","B","c","Grand_Bois","Reunion","8Bc","B_c"
"439","RUNARMS9C_8T","RUNARMS9C","RUNARMS","RUNARMS9","8","T","o","Grand_Bois","Reunion","8To","T_o"
"440","RUNARMS9C_9B","RUNARMS9C","RUNARMS","RUNARMS9","9","B","o","Grand_Bois","Reunion","9Bo","B_o"
