"","name","arms","campain","triplicat","plate_number","orientation","open_close","site_names","island"
"1","RODARMS1_02D","RODARMS1A","RODARMS","RODARMS1","2","B","o","Rivière_Banane","Rodrigues"
"2","RODARMS1_02U","RODARMS1A","RODARMS","RODARMS1","2","T","c","Rivière_Banane","Rodrigues"
"3","RODARMS1_03D","RODARMS1A","RODARMS","RODARMS1","3","B","c","Rivière_Banane","Rodrigues"
"4","RODARMS1_03U","RODARMS1A","RODARMS","RODARMS1","3","T","o","Rivière_Banane","Rodrigues"
"5","RODARMS1_04D","RODARMS1A","RODARMS","RODARMS1","4","B","o","Rivière_Banane","Rodrigues"
"6","RODARMS1_04U","RODARMS1A","RODARMS","RODARMS1","4","T","c","Rivière_Banane","Rodrigues"
"7","RODARMS1_05D","RODARMS1A","RODARMS","RODARMS1","5","B","c","Rivière_Banane","Rodrigues"
"8","RODARMS1_05U","RODARMS1A","RODARMS","RODARMS1","5","T","o","Rivière_Banane","Rodrigues"
"9","RODARMS1_06D","RODARMS1A","RODARMS","RODARMS1","6","B","o","Rivière_Banane","Rodrigues"
"10","RODARMS1_06U","RODARMS1A","RODARMS","RODARMS1","6","T","c","Rivière_Banane","Rodrigues"
"11","RODARMS1_07D","RODARMS1A","RODARMS","RODARMS1","7","B","c","Rivière_Banane","Rodrigues"
"12","RODARMS1_07U","RODARMS1A","RODARMS","RODARMS1","7","T","o","Rivière_Banane","Rodrigues"
"13","RODARMS1_08D","RODARMS1A","RODARMS","RODARMS1","8","B","o","Rivière_Banane","Rodrigues"
"14","RODARMS1_08U","RODARMS1A","RODARMS","RODARMS1","8","T","c","Rivière_Banane","Rodrigues"
"15","RODARMS1_09D","RODARMS1A","RODARMS","RODARMS1","9","B","c","Rivière_Banane","Rodrigues"
"16","RODARMS1_09U","RODARMS1A","RODARMS","RODARMS1","9","T","o","Rivière_Banane","Rodrigues"
"17","RODARMS2_02D","RODARMS1B","RODARMS","RODARMS1","2","B","o","Rivière_Banane","Rodrigues"
"18","RODARMS2_02U","RODARMS1B","RODARMS","RODARMS1","2","T","c","Rivière_Banane","Rodrigues"
"19","RODARMS2_03D","RODARMS1B","RODARMS","RODARMS1","3","B","c","Rivière_Banane","Rodrigues"
"20","RODARMS2_03U","RODARMS1B","RODARMS","RODARMS1","3","T","o","Rivière_Banane","Rodrigues"
"21","RODARMS2_04D","RODARMS1B","RODARMS","RODARMS1","4","B","o","Rivière_Banane","Rodrigues"
"22","RODARMS2_04U","RODARMS1B","RODARMS","RODARMS1","4","T","c","Rivière_Banane","Rodrigues"
"23","RODARMS2_05D","RODARMS1B","RODARMS","RODARMS1","5","B","c","Rivière_Banane","Rodrigues"
"24","RODARMS2_05U","RODARMS1B","RODARMS","RODARMS1","5","T","o","Rivière_Banane","Rodrigues"
"25","RODARMS2_06D","RODARMS1B","RODARMS","RODARMS1","6","B","o","Rivière_Banane","Rodrigues"
"26","RODARMS2_06U","RODARMS1B","RODARMS","RODARMS1","6","T","c","Rivière_Banane","Rodrigues"
"27","RODARMS2_07D","RODARMS1B","RODARMS","RODARMS1","7","B","c","Rivière_Banane","Rodrigues"
"28","RODARMS2_07U","RODARMS1B","RODARMS","RODARMS1","7","T","o","Rivière_Banane","Rodrigues"
"29","RODARMS2_08D","RODARMS1B","RODARMS","RODARMS1","8","B","o","Rivière_Banane","Rodrigues"
"30","RODARMS2_08U","RODARMS1B","RODARMS","RODARMS1","8","T","c","Rivière_Banane","Rodrigues"
"31","RODARMS2_09D","RODARMS1B","RODARMS","RODARMS1","9","B","c","Rivière_Banane","Rodrigues"
"32","RODARMS2_09U","RODARMS1B","RODARMS","RODARMS1","9","T","o","Rivière_Banane","Rodrigues"
"33","RODARMS3_02D","RODARMS1C","RODARMS","RODARMS1","2","B","o","Rivière_Banane","Rodrigues"
"34","RODARMS3_02U","RODARMS1C","RODARMS","RODARMS1","2","T","c","Rivière_Banane","Rodrigues"
"35","RODARMS3_03D","RODARMS1C","RODARMS","RODARMS1","3","B","c","Rivière_Banane","Rodrigues"
"36","RODARMS3_03U","RODARMS1C","RODARMS","RODARMS1","3","T","o","Rivière_Banane","Rodrigues"
"37","RODARMS3_04D","RODARMS1C","RODARMS","RODARMS1","4","B","o","Rivière_Banane","Rodrigues"
"38","RODARMS3_04U","RODARMS1C","RODARMS","RODARMS1","4","T","c","Rivière_Banane","Rodrigues"
"39","RODARMS3_05D","RODARMS1C","RODARMS","RODARMS1","5","B","c","Rivière_Banane","Rodrigues"
"40","RODARMS3_05U","RODARMS1C","RODARMS","RODARMS1","5","T","o","Rivière_Banane","Rodrigues"
"41","RODARMS3_06D","RODARMS1C","RODARMS","RODARMS1","6","B","o","Rivière_Banane","Rodrigues"
"42","RODARMS3_06U","RODARMS1C","RODARMS","RODARMS1","6","T","c","Rivière_Banane","Rodrigues"
"43","RODARMS3_07D","RODARMS1C","RODARMS","RODARMS1","7","B","c","Rivière_Banane","Rodrigues"
"44","RODARMS3_07U","RODARMS1C","RODARMS","RODARMS1","7","T","o","Rivière_Banane","Rodrigues"
"45","RODARMS3_08D","RODARMS1C","RODARMS","RODARMS1","8","B","o","Rivière_Banane","Rodrigues"
"46","RODARMS3_08U","RODARMS1C","RODARMS","RODARMS1","8","T","c","Rivière_Banane","Rodrigues"
"47","RODARMS3_09D","RODARMS1C","RODARMS","RODARMS1","9","B","c","Rivière_Banane","Rodrigues"
"48","RODARMS3_09U","RODARMS1C","RODARMS","RODARMS1","9","T","o","Rivière_Banane","Rodrigues"
"49","RODARMS4_02D","RODARMS2A","RODARMS","RODARMS2","2","B","o","Ile_aux_Fous","Rodrigues"
"50","RODARMS4_02U","RODARMS2A","RODARMS","RODARMS2","2","T","c","Ile_aux_Fous","Rodrigues"
"51","RODARMS4_03D","RODARMS2A","RODARMS","RODARMS2","3","B","c","Ile_aux_Fous","Rodrigues"
"52","RODARMS4_03U","RODARMS2A","RODARMS","RODARMS2","3","T","o","Ile_aux_Fous","Rodrigues"
"53","RODARMS4_04D","RODARMS2A","RODARMS","RODARMS2","4","B","o","Ile_aux_Fous","Rodrigues"
"54","RODARMS4_04U","RODARMS2A","RODARMS","RODARMS2","4","T","c","Ile_aux_Fous","Rodrigues"
"55","RODARMS4_05D","RODARMS2A","RODARMS","RODARMS2","5","B","c","Ile_aux_Fous","Rodrigues"
"56","RODARMS4_05U","RODARMS2A","RODARMS","RODARMS2","5","T","o","Ile_aux_Fous","Rodrigues"
"57","RODARMS4_06D","RODARMS2A","RODARMS","RODARMS2","6","B","o","Ile_aux_Fous","Rodrigues"
"58","RODARMS4_06U","RODARMS2A","RODARMS","RODARMS2","6","T","c","Ile_aux_Fous","Rodrigues"
"59","RODARMS4_07D","RODARMS2A","RODARMS","RODARMS2","7","B","c","Ile_aux_Fous","Rodrigues"
"60","RODARMS4_07U","RODARMS2A","RODARMS","RODARMS2","7","T","o","Ile_aux_Fous","Rodrigues"
"61","RODARMS4_08D","RODARMS2A","RODARMS","RODARMS2","8","B","o","Ile_aux_Fous","Rodrigues"
"62","RODARMS4_08U","RODARMS2A","RODARMS","RODARMS2","8","T","c","Ile_aux_Fous","Rodrigues"
"63","RODARMS4_09D","RODARMS2A","RODARMS","RODARMS2","9","B","c","Ile_aux_Fous","Rodrigues"
"64","RODARMS4_09U","RODARMS2A","RODARMS","RODARMS2","9","T","o","Ile_aux_Fous","Rodrigues"
"65","RODARMS5_02D","RODARMS2B","RODARMS","RODARMS2","2","B","o","Ile_aux_Fous","Rodrigues"
"66","RODARMS5_02U","RODARMS2B","RODARMS","RODARMS2","2","T","c","Ile_aux_Fous","Rodrigues"
"67","RODARMS5_03D","RODARMS2B","RODARMS","RODARMS2","3","B","c","Ile_aux_Fous","Rodrigues"
"68","RODARMS5_03U","RODARMS2B","RODARMS","RODARMS2","3","T","o","Ile_aux_Fous","Rodrigues"
"69","RODARMS5_04D","RODARMS2B","RODARMS","RODARMS2","4","B","o","Ile_aux_Fous","Rodrigues"
"70","RODARMS5_04U","RODARMS2B","RODARMS","RODARMS2","4","T","c","Ile_aux_Fous","Rodrigues"
"71","RODARMS5_05D","RODARMS2B","RODARMS","RODARMS2","5","B","c","Ile_aux_Fous","Rodrigues"
"72","RODARMS5_05U","RODARMS2B","RODARMS","RODARMS2","5","T","o","Ile_aux_Fous","Rodrigues"
"73","RODARMS5_06D","RODARMS2B","RODARMS","RODARMS2","6","B","o","Ile_aux_Fous","Rodrigues"
"74","RODARMS5_06U","RODARMS2B","RODARMS","RODARMS2","6","T","c","Ile_aux_Fous","Rodrigues"
"75","RODARMS5_07D","RODARMS2B","RODARMS","RODARMS2","7","B","c","Ile_aux_Fous","Rodrigues"
"76","RODARMS5_07U","RODARMS2B","RODARMS","RODARMS2","7","T","o","Ile_aux_Fous","Rodrigues"
"77","RODARMS5_08D","RODARMS2B","RODARMS","RODARMS2","8","B","o","Ile_aux_Fous","Rodrigues"
"78","RODARMS5_08U","RODARMS2B","RODARMS","RODARMS2","8","T","c","Ile_aux_Fous","Rodrigues"
"79","RODARMS5_09D","RODARMS2B","RODARMS","RODARMS2","9","B","c","Ile_aux_Fous","Rodrigues"
"80","RODARMS5_09U","RODARMS2B","RODARMS","RODARMS2","9","T","o","Ile_aux_Fous","Rodrigues"
"81","RODARMS6_02D","RODARMS2C","RODARMS","RODARMS2","2","B","o","Ile_aux_Fous","Rodrigues"
"82","RODARMS6_02U","RODARMS2C","RODARMS","RODARMS2","2","T","c","Ile_aux_Fous","Rodrigues"
"83","RODARMS6_03D","RODARMS2C","RODARMS","RODARMS2","3","B","c","Ile_aux_Fous","Rodrigues"
"84","RODARMS6_03U","RODARMS2C","RODARMS","RODARMS2","3","T","o","Ile_aux_Fous","Rodrigues"
"85","RODARMS6_04D","RODARMS2C","RODARMS","RODARMS2","4","B","o","Ile_aux_Fous","Rodrigues"
"86","RODARMS6_04U","RODARMS2C","RODARMS","RODARMS2","4","T","c","Ile_aux_Fous","Rodrigues"
"87","RODARMS6_05D","RODARMS2C","RODARMS","RODARMS2","5","B","c","Ile_aux_Fous","Rodrigues"
"88","RODARMS6_05U","RODARMS2C","RODARMS","RODARMS2","5","T","o","Ile_aux_Fous","Rodrigues"
"89","RODARMS6_06D","RODARMS2C","RODARMS","RODARMS2","6","B","o","Ile_aux_Fous","Rodrigues"
"90","RODARMS6_06U","RODARMS2C","RODARMS","RODARMS2","6","T","c","Ile_aux_Fous","Rodrigues"
"91","RODARMS6_07D","RODARMS2C","RODARMS","RODARMS2","7","B","c","Ile_aux_Fous","Rodrigues"
"92","RODARMS6_07U","RODARMS2C","RODARMS","RODARMS2","7","T","o","Ile_aux_Fous","Rodrigues"
"93","RODARMS6_08D","RODARMS2C","RODARMS","RODARMS2","8","B","o","Ile_aux_Fous","Rodrigues"
"94","RODARMS6_08U","RODARMS2C","RODARMS","RODARMS2","8","T","c","Ile_aux_Fous","Rodrigues"
"95","RODARMS6_09D","RODARMS2C","RODARMS","RODARMS2","9","B","c","Ile_aux_Fous","Rodrigues"
"96","RODARMS6_09U","RODARMS2C","RODARMS","RODARMS2","9","T","o","Ile_aux_Fous","Rodrigues"
"97","RODARMS7_01D","RODARMS3A","RODARMS","RODARMS3","1","B","o","Grand_Pate","Rodrigues"
"98","RODARMS7_01U","RODARMS3A","RODARMS","RODARMS3","1","T","o","Grand_Pate","Rodrigues"
"99","RODARMS7_02D","RODARMS3A","RODARMS","RODARMS3","2","B","o","Grand_Pate","Rodrigues"
"100","RODARMS7_02U","RODARMS3A","RODARMS","RODARMS3","2","T","c","Grand_Pate","Rodrigues"
"101","RODARMS7_03D","RODARMS3A","RODARMS","RODARMS3","3","B","c","Grand_Pate","Rodrigues"
"102","RODARMS7_03U","RODARMS3A","RODARMS","RODARMS3","3","T","o","Grand_Pate","Rodrigues"
"103","RODARMS7_04D","RODARMS3A","RODARMS","RODARMS3","4","B","o","Grand_Pate","Rodrigues"
"104","RODARMS7_04U","RODARMS3A","RODARMS","RODARMS3","4","T","c","Grand_Pate","Rodrigues"
"105","RODARMS7_05D","RODARMS3A","RODARMS","RODARMS3","5","B","c","Grand_Pate","Rodrigues"
"106","RODARMS7_05U","RODARMS3A","RODARMS","RODARMS3","5","T","o","Grand_Pate","Rodrigues"
"107","RODARMS7_06D","RODARMS3A","RODARMS","RODARMS3","6","B","o","Grand_Pate","Rodrigues"
"108","RODARMS7_06U","RODARMS3A","RODARMS","RODARMS3","6","T","c","Grand_Pate","Rodrigues"
"109","RODARMS7_07D","RODARMS3A","RODARMS","RODARMS3","7","B","c","Grand_Pate","Rodrigues"
"110","RODARMS7_07U","RODARMS3A","RODARMS","RODARMS3","7","T","o","Grand_Pate","Rodrigues"
"111","RODARMS7_08D","RODARMS3A","RODARMS","RODARMS3","8","B","o","Grand_Pate","Rodrigues"
"112","RODARMS7_08U","RODARMS3A","RODARMS","RODARMS3","8","T","c","Grand_Pate","Rodrigues"
"113","RODARMS7_09D","RODARMS3A","RODARMS","RODARMS3","9","B","c","Grand_Pate","Rodrigues"
"114","RODARMS7_09U","RODARMS3A","RODARMS","RODARMS3","9","T","o","Grand_Pate","Rodrigues"
"115","RODARMS7_10D","RODARMS3A","RODARMS","RODARMS3","10","B","o","Grand_Pate","Rodrigues"
"116","RODARMS8_01D","RODARMS3B","RODARMS","RODARMS3","1","B","o","Grand_Pate","Rodrigues"
"117","RODARMS8_01U","RODARMS3B","RODARMS","RODARMS3","1","T","o","Grand_Pate","Rodrigues"
"118","RODARMS8_02D","RODARMS3B","RODARMS","RODARMS3","2","B","o","Grand_Pate","Rodrigues"
"119","RODARMS8_02U","RODARMS3B","RODARMS","RODARMS3","2","T","c","Grand_Pate","Rodrigues"
"120","RODARMS8_03D","RODARMS3B","RODARMS","RODARMS3","3","B","c","Grand_Pate","Rodrigues"
"121","RODARMS8_03U","RODARMS3B","RODARMS","RODARMS3","3","T","o","Grand_Pate","Rodrigues"
"122","RODARMS8_04D","RODARMS3B","RODARMS","RODARMS3","4","B","o","Grand_Pate","Rodrigues"
"123","RODARMS8_04U","RODARMS3B","RODARMS","RODARMS3","4","T","c","Grand_Pate","Rodrigues"
"124","RODARMS8_05D","RODARMS3B","RODARMS","RODARMS3","5","B","c","Grand_Pate","Rodrigues"
"125","RODARMS8_05U","RODARMS3B","RODARMS","RODARMS3","5","T","o","Grand_Pate","Rodrigues"
"126","RODARMS8_06D","RODARMS3B","RODARMS","RODARMS3","6","B","o","Grand_Pate","Rodrigues"
"127","RODARMS8_06U","RODARMS3B","RODARMS","RODARMS3","6","T","c","Grand_Pate","Rodrigues"
"128","RODARMS8_07D","RODARMS3B","RODARMS","RODARMS3","7","B","c","Grand_Pate","Rodrigues"
"129","RODARMS8_07U","RODARMS3B","RODARMS","RODARMS3","7","T","o","Grand_Pate","Rodrigues"
"130","RODARMS8_08D","RODARMS3B","RODARMS","RODARMS3","8","B","o","Grand_Pate","Rodrigues"
"131","RODARMS8_08U","RODARMS3B","RODARMS","RODARMS3","8","T","c","Grand_Pate","Rodrigues"
"132","RODARMS8_09D","RODARMS3B","RODARMS","RODARMS3","9","B","c","Grand_Pate","Rodrigues"
"133","RODARMS8_09U","RODARMS3B","RODARMS","RODARMS3","9","T","o","Grand_Pate","Rodrigues"
"134","RODARMS8_10D","RODARMS3B","RODARMS","RODARMS3","10","B","o","Grand_Pate","Rodrigues"
"135","P50ARMS1A_1T","P50ARMS1A","P50ARMS","P50ARMS1","1","T","c","Cap_Houssaye","Reunion"
"136","P50ARMS1A_2B","P50ARMS1A","P50ARMS","P50ARMS1","2","B","c","Cap_Houssaye","Reunion"
"137","P50ARMS1A_2T","P50ARMS1A","P50ARMS","P50ARMS1","2","T","o","Cap_Houssaye","Reunion"
"138","P50ARMS1A_3B","P50ARMS1A","P50ARMS","P50ARMS1","3","B","o","Cap_Houssaye","Reunion"
"139","P50ARMS1A_3T","P50ARMS1A","P50ARMS","P50ARMS1","3","T","c","Cap_Houssaye","Reunion"
"140","P50ARMS1A_4B","P50ARMS1A","P50ARMS","P50ARMS1","4","B","c","Cap_Houssaye","Reunion"
"141","P50ARMS1A_4T","P50ARMS1A","P50ARMS","P50ARMS1","4","T","o","Cap_Houssaye","Reunion"
"142","P50ARMS1A_5B","P50ARMS1A","P50ARMS","P50ARMS1","5","B","o","Cap_Houssaye","Reunion"
"143","P50ARMS1A_5T","P50ARMS1A","P50ARMS","P50ARMS1","5","T","c","Cap_Houssaye","Reunion"
"144","P50ARMS1A_6B","P50ARMS1A","P50ARMS","P50ARMS1","6","B","c","Cap_Houssaye","Reunion"
"145","P50ARMS1A_6T","P50ARMS1A","P50ARMS","P50ARMS1","6","T","o","Cap_Houssaye","Reunion"
"146","P50ARMS1A_7B","P50ARMS1A","P50ARMS","P50ARMS1","7","B","o","Cap_Houssaye","Reunion"
"147","P50ARMS1A_7T","P50ARMS1A","P50ARMS","P50ARMS1","7","T","c","Cap_Houssaye","Reunion"
"148","P50ARMS1A_8B","P50ARMS1A","P50ARMS","P50ARMS1","8","B","c","Cap_Houssaye","Reunion"
"149","P50ARMS1A_8T","P50ARMS1A","P50ARMS","P50ARMS1","8","T","o","Cap_Houssaye","Reunion"
"150","P50ARMS1A_9B","P50ARMS1A","P50ARMS","P50ARMS1","9","B","o","Cap_Houssaye","Reunion"
"151","P50ARMS1B_1T","P50ARMS1B","P50ARMS","P50ARMS1","1","T","c","Cap_Houssaye","Reunion"
"152","P50ARMS1B_2B","P50ARMS1B","P50ARMS","P50ARMS1","2","B","c","Cap_Houssaye","Reunion"
"153","P50ARMS1B_2T","P50ARMS1B","P50ARMS","P50ARMS1","2","T","o","Cap_Houssaye","Reunion"
"154","P50ARMS1B_3B","P50ARMS1B","P50ARMS","P50ARMS1","3","B","o","Cap_Houssaye","Reunion"
"155","P50ARMS1B_3T","P50ARMS1B","P50ARMS","P50ARMS1","3","T","c","Cap_Houssaye","Reunion"
"156","P50ARMS1B_4B","P50ARMS1B","P50ARMS","P50ARMS1","4","B","c","Cap_Houssaye","Reunion"
"157","P50ARMS1B_4T","P50ARMS1B","P50ARMS","P50ARMS1","4","T","o","Cap_Houssaye","Reunion"
"158","P50ARMS1B_5B","P50ARMS1B","P50ARMS","P50ARMS1","5","B","o","Cap_Houssaye","Reunion"
"159","P50ARMS1B_5T","P50ARMS1B","P50ARMS","P50ARMS1","5","T","c","Cap_Houssaye","Reunion"
"160","P50ARMS1B_6B","P50ARMS1B","P50ARMS","P50ARMS1","6","B","c","Cap_Houssaye","Reunion"
"161","P50ARMS1B_6T","P50ARMS1B","P50ARMS","P50ARMS1","6","T","o","Cap_Houssaye","Reunion"
"162","P50ARMS1B_7B","P50ARMS1B","P50ARMS","P50ARMS1","7","B","o","Cap_Houssaye","Reunion"
"163","P50ARMS1B_7T","P50ARMS1B","P50ARMS","P50ARMS1","7","T","c","Cap_Houssaye","Reunion"
"164","P50ARMS1B_8B","P50ARMS1B","P50ARMS","P50ARMS1","8","B","c","Cap_Houssaye","Reunion"
"165","P50ARMS1B_8T","P50ARMS1B","P50ARMS","P50ARMS1","8","T","o","Cap_Houssaye","Reunion"
"166","P50ARMS1B_9B","P50ARMS1B","P50ARMS","P50ARMS1","9","B","o","Cap_Houssaye","Reunion"
"167","P50ARMS1C_1T","P50ARMS1C","P50ARMS","P50ARMS1","1","T","c","Cap_Houssaye","Reunion"
"168","P50ARMS1C_2B","P50ARMS1C","P50ARMS","P50ARMS1","2","B","c","Cap_Houssaye","Reunion"
